Bankrupt?,ROA(B) before interest and depreciation after tax,Operating Gross Margin,Operating Profit Rate,Operating Expense Rate,Research and development expense rate,Cash flow rate,Realized Sales Gross Profit Growth Rate,Operating Profit Growth Rate,Total Asset Growth Rate,Cash Reinvestment %,Interest Expense Ratio,Total debt/Total net worth
0,0.5952138765,0.6134493146,0.9991835433,0.0001015288416,3280000000,0.4696174396,0.02215441267,0.848117976,7850000000,0.3865727804,0.6306259503,0.003665909775
0,0.5670539108,0.6117989593,0.9990796663,0.0001801616575,4670000000,0.474965401,0.02317707646,0.8482295805,684000000,0.3865262099,0.6312690922,0.003749806217
0,0.6199475347,0.6095648539,0.999144835,8000000000,5890000000,0.476374525,0.02221041874,0.8481326927,8130000000,0.3965016207,0.630809167,0.005888253586
0,0.5455324161,0.6030282939,0.9990467354,7330000000,5500000000,0.4644892345,0.02212497156,0.848111047,7000000000,0.3813382512,0.6313567622,0.007440337774
0,0.5638952835,0.6033165655,0.9989997077,0.0001247717769,4180000000,0.4673460658,0.02280311272,0.8482153109,7530000000,0.3877184159,0.6316786756,0.006249373056
0,0.606991809,0.6225154586,0.999258649,0.0001739172868,7950000000,0.4707782894,0.02217606287,0.8480834253,9480000000,0.3853992027,0.6307550581,0.007217829818
0,0.5303817121,0.6010896669,0.9989138561,0.0001750736518,6720000000,0.464786157,0.02203554201,0.8477444002,4960000000,0.3824745725,0.6282622841,0.004056210617
0,0.5491728679,0.6082964586,0.9990407269,0.0001636256389,1340000000,0.463761187,0.02211583739,0.8480467218,7060000000,0.3800063336,0.6326248955,0.006475528684
0,0.5395363778,0.5981348823,0.9989930059,4860000000,2500000000,0.4672219287,0.02208525846,0.8480026776,6680000000,0.3813382512,0.6311403268,0.007294430918
0,0.5514213823,0.6099107799,0.9991042779,0.0001025695701,486000000,0.4635498184,0.02212234825,0.8480634736,7510000000,0.3791773779,0.6309033438,0.005104916149
0,0.6488034691,0.6083108722,0.9991123662,8970000000,5380000000,0.476403043,0.02207486004,0.8480119593,9400000000,0.3890037629,0.6306122519,0.002768582606
0,0.5910380641,0.6072875077,0.9991040468,8430000000,5500000000,0.4737055769,0.02215950126,0.848082943,0.0001148648008,0.3891155322,0.6311577924,0.006559425127
0,0.6101504363,0.6028048833,0.9990461577,6960000000,5060000000,0.4679768166,0.02218872113,0.8481117058,0.0001318040194,0.3826235982,0.6306982096,0.008301188229
0,0.5938219391,0.5984519811,0.9990082582,3830000000,1630000000,0.4742189007,0.02208985715,0.8480281112,9830000000,0.3926548936,0.6307139628,0.00425865638
0,0.6309224263,0.613161043,0.9992029552,7970000000,156000000,0.4710282412,0.02217911286,0.8481121764,9610000000,0.3906709884,0.6306122519,0.003202655505
0,0.6078483859,0.6088153476,0.9991033535,0.0001069637569,263000000,0.4785972505,0.02244901342,0.8484931987,0.0001143739256,0.404474498,0.6307030041,0.004164728841
0,0.5784035548,0.6102999467,0.9991441417,924000000,2260000000,0.4640295916,0.02216798751,0.8480815783,8250000000,0.3805186096,0.6314478569,0.007859819987
0,0.584292521,0.6196903962,0.9991830811,0.0002042140482,2260000000,0.4631153385,0.02210385866,0.8480461924,8280000000,0.3762620618,0.6308608786,0.003763484985
0,0.5839713047,0.6011977688,0.9990471976,4340000000,4430000000,0.4689229427,0.02211718065,0.8480586622,0.0001128932528,0.3908665847,0.6308482076,0.01203184417
0,0.6114353017,0.622155119,0.9992399303,0.0001868685742,6400000000,0.481933855,0.02210328975,0.8480456277,8080000000,0.391835252,0.6307660169,0.003178945641
0,0.5806520692,0.6119430952,0.9991690999,9520000000,1360000000,0.4653632269,0.0221916763,0.8481556206,6680000000,0.3823814314,0.6310129313,0.006032336607
0,0.5687135286,0.6122169533,0.9991494569,0.0001149426749,2920000000,0.4708554557,0.02210630814,0.8480493687,8430000000,0.3780503707,0.6306194436,0.001421679935
0,0.5462283848,0.6048876461,0.9990044451,0.0001454707093,5770000000,0.46174312,0.02209325481,0.8480183589,7250000000,0.3780876271,0.6325968137,0.01646741262
0,0.5430697575,0.5973421352,0.9989359256,9290000000,2890000000,0.4633149644,0.02248842627,0.8481360572,7420000000,0.3804254685,0.63441083,0.008121540412
0,0.5498153006,0.6327130688,0.9989848021,0.0006116014163,0.0003336282505,0.4572389556,0.02227162401,0.8481640789,7030000000,0.3735237137,0.630616019,0.0009702805971
0,0.5226725199,0.6041093126,0.998952911,0.0001845558443,2840000000,0.461682729,0.02206262847,0.8478993666,7150000000,0.3769513058,0.6298386323,0.005846305365
0,0.4951014508,0.5638593811,0.9974119732,0.001080969945,0.0009312727502,0.4512619209,0.02209159549,0.8479387052,754000000,0.3677862226,0.6304283503,0.003336707429
0,0.5110551957,0.6036048372,0.9989034568,0.0002247973442,6930000000,0.4638383533,0.02202874669,0.8478074784,5620000000,0.3812823665,0.6302691059,0.004552293929
0,0.5985866481,0.6121592989,0.9991437951,0.00012269032,4720000000,0.4678711322,0.0220891144,0.8480296523,7030000000,0.3852781193,0.6307180724,0.00471370339
0,0.6431821832,0.6135574165,0.9991598561,0.0001290503272,642000000,0.4535769105,0.02217227014,0.8481215993,0.0001000339315,0.3689877426,0.6306283476,0.001703462552
0,0.6293698806,0.6249297338,0.9992409703,0.0002303478959,0.0001222454658,0.4661348901,0.03097675857,0.8483002936,0.0001301865453,0.3813755076,0.6309543705,0.005984916879
0,0.5834894802,0.609874746,0.9991197612,0.0001100859422,2770000000,0.4325792842,0.02232903655,0.8481755958,0.0002118086326,0.3359412839,0.6307444419,0.002564313007
0,0.7964559131,0.6399631012,0.9994410981,0.0002501217363,0.0001390542174,0.4962515622,0.0222287977,0.8481752076,0.0001451864044,0.4156514288,0.6306122519,0.002046343665
0,0.6187697414,0.6150852563,0.9990731957,0.0002402926343,0.0001224152512,0.4724507855,0.02376781086,0.8482937293,9090000000,0.3872061399,0.6307810852,0.002557017664
0,0.464050538,0.5812133354,0.9970258144,0.001745764149,0.001493771678,0.4522248224,0.01361187585,0.847344579,0.0001967122079,0.3579877799,0.6304804044,0.007469519146
0,0.6672734086,0.6100693293,0.9991805391,524000000,79800000,0.4638333208,0.02303265225,0.849794138,0.000664942788,0.3849614396,0.6306434158,0.006399839502
0,0.5386798008,0.6165986826,0.9990625654,0.0002752148555,1770000000,0.4502218532,0.02317800885,0.8481957121,0.0001647811774,0.368764204,0.6317070999,0.002331773954
